national_team_id,name,team_code,country_id,country_name,country_code,confederation,team_image_url,squad_size,average_age,foreigners_number,foreigners_percentage,total_market_value,coach_name,fifa_ranking,last_season,url
3575,Morocco,morocco,107,Morocco,MAR1,CAF,https://tmssl.akamaized.net//images/flagge/head/107.png?lm=1520611569,29,25.2,26,89.7,456000000.0,,8,2025,https://www.transfermarkt.co.uk/morocco/startseite/verein/3575
3577,Panama,panama,130,Panama,PN1C,CONCACAF,https://tmssl.akamaized.net//images/flagge/head/130.png?lm=1520611569,23,29.6,22,95.7,32400002.0,,33,2025,https://www.transfermarkt.co.uk/panama/startseite/verein/3577
3580,Luxembourg,luxembourg,99,Luxembourg,LUX1,UEFA,https://tmssl.akamaized.net//images/flagge/head/99.png?lm=1520611569,24,26.5,24,100.0,32900002.0,,98,2025,https://www.transfermarkt.co.uk/luxembourg/startseite/verein/3580
3581,Paraguay,paraguay,132,Paraguay,PR1A,CONMEBOL,https://tmssl.akamaized.net//images/flagge/head/132.png?lm=1520611569,25,28.8,21,84.0,134699997.0,,40,2025,https://www.transfermarkt.co.uk/paraguay/startseite/verein/3581
3582,Iran,iran,71,Iran,IRN1,AFC,https://tmssl.akamaized.net//images/flagge/head/71.png?lm=1520611569,31,28.3,0,,23080000.0,,21,2025,https://www.transfermarkt.co.uk/iran/startseite/verein/3582
3584,Peru,peru,133,Peru,TDeA,CONMEBOL,https://tmssl.akamaized.net//images/flagge/head/133.png?lm=1520611569,24,26.8,12,50.0,28750000.0,,53,2025,https://www.transfermarkt.co.uk/peru/startseite/verein/3584
3586,Lebanon,lebanon,94,Lebanon,LIB1,AFC,https://tmssl.akamaized.net//images/flagge/head/94.png?lm=1520611569,23,28.9,6,26.1,6450000.0,,108,2025,https://www.transfermarkt.co.uk/lebanon/startseite/verein/3586
3587,Malta,malta,106,Malta,MT1N,UEFA,https://tmssl.akamaized.net//images/flagge/head/106.png?lm=1520611569,27,27.6,8,29.6,14350000.0,,161,2025,https://www.transfermarkt.co.uk/malta/startseite/verein/3587
3588,Slovenia,slovenia,155,Slovenia,SL1,UEFA,https://tmssl.akamaized.net//images/flagge/head/155.png?lm=1520611569,25,27.0,20,80.0,142850006.0,,58,2025,https://www.transfermarkt.co.uk/slovenia/startseite/verein/3588
3589,South Korea,south-korea,87,"Korea, South",RSK1,AFC,https://tmssl.akamaized.net//images/flagge/head/87.png?lm=1520611569,26,28.2,22,84.6,136750000.0,,25,2025,https://www.transfermarkt.co.uk/south-korea/startseite/verein/3589
3590,Honduras,honduras,66,Honduras,HO1A,CONCACAF,https://tmssl.akamaized.net//images/flagge/head/66.png?lm=1699286249,26,25.3,11,42.3,16299999.0,,66,2025,https://www.transfermarkt.co.uk/honduras/startseite/verein/3590
3614,Algeria,algeria,4,Algeria,ALG1,CAF,https://tmssl.akamaized.net//images/flagge/head/4.png?lm=1520611569,26,25.9,24,92.3,227750000.0,,28,2025,https://www.transfermarkt.co.uk/algeria/startseite/verein/3614
3668,Cyprus,cyprus,188,Cyprus,ZYP1,UEFA,https://tmssl.akamaized.net//images/flagge/head/188.png?lm=1520611569,26,25.8,7,26.9,19100000.0,,126,2025,https://www.transfermarkt.co.uk/cyprus/startseite/verein/3668
3669,Georgia,georgia,53,Georgia,GE1N,UEFA,https://tmssl.akamaized.net//images/flagge/head/53.png?lm=1520611569,23,26.4,21,91.3,195300003.0,,72,2025,https://www.transfermarkt.co.uk/georgia/startseite/verein/3669
3670,Tunisia,tunisia,173,Tunisia,TUN1,CAF,https://tmssl.akamaized.net//images/flagge/head/173.png?lm=1520611569,29,25.5,20,69.0,52299999.0,,44,2025,https://www.transfermarkt.co.uk/tunisia/startseite/verein/3670
3671,Jamaica,jamaica,76,Jamaica,JPL1,CONCACAF,https://tmssl.akamaized.net//images/flagge/head/76.png?lm=1520611569,27,27.6,25,92.6,53779999.0,,71,2025,https://www.transfermarkt.co.uk/jamaica/startseite/verein/3671
3672,Egypt,egypt,2,Egypt,EGY1,CAF,https://tmssl.akamaized.net//images/flagge/head/2.png?lm=1520611569,26,29.0,7,26.9,108000000.0,,29,2025,https://www.transfermarkt.co.uk/egypt/startseite/verein/3672
3699,Ukraine,ukraine,177,Ukraine,UKR1,UEFA,https://tmssl.akamaized.net//images/flagge/head/177.png?lm=1520611569,26,26.7,11,42.3,261700012.0,,32,2025,https://www.transfermarkt.co.uk/ukraine/startseite/verein/3699
3700,Chile,chile,33,Chile,CLPD,CONMEBOL,https://tmssl.akamaized.net//images/flagge/head/33.png?lm=1520611569,26,25.3,18,69.2,72699997.0,,54,2025,https://www.transfermarkt.co.uk/chile/startseite/verein/3700
37574,Gibraltar,gibraltar,266,Gibraltar,GI1,UEFA,https://tmssl.akamaized.net//images/flagge/head/266.png?lm=1520611569,23,23.6,9,39.1,1200000.0,,203,2025,https://www.transfermarkt.co.uk/gibraltar/startseite/verein/37574
3806,South Africa,south-africa,159,South Africa,SFA1,CAF,https://tmssl.akamaized.net//images/flagge/head/159.png?lm=1520611569,23,26.9,7,30.4,41150002.0,,60,2025,https://www.transfermarkt.co.uk/south-africa/startseite/verein/3806
3807,Saudi Arabia,saudi-arabia,146,Saudi Arabia,SA1,AFC,https://tmssl.akamaized.net//images/flagge/head/146.png?lm=1520611569,23,27.9,2,8.7,27629999.0,,61,2025,https://www.transfermarkt.co.uk/saudi-arabia/startseite/verein/3807
3816,Colombia,colombia,83,Colombia,COLP,CONMEBOL,https://tmssl.akamaized.net//images/flagge/head/83.png?lm=1520611569,26,29.7,25,96.2,300500000.0,,13,2025,https://www.transfermarkt.co.uk/colombia/startseite/verein/3816
3851,Lithuania,lithuania,98,Lithuania,LI1,UEFA,https://tmssl.akamaized.net//images/flagge/head/98.png?lm=1520611569,23,27.2,14,60.9,18549999.0,,148,2025,https://www.transfermarkt.co.uk/lithuania/startseite/verein/3851
3864,Wales,wales,191,Wales,WAL2,UEFA,https://tmssl.akamaized.net//images/flagge/head/191.png?lm=1520611569,25,26.9,18,72.0,197949997.0,,37,2025,https://www.transfermarkt.co.uk/wales/startseite/verein/3864
3956,Kyrgyzstan,kyrgyzstan,90,Kyrgyzstan,KG1L,AFC,https://tmssl.akamaized.net//images/flagge/head/90.png?lm=1520611569,32,25.5,4,12.5,7580000.0,,107,2025,https://www.transfermarkt.co.uk/kyrgyzstan/startseite/verein/3956
5147,United Arab Emirates,united-arab-emirates,183,United Arab Emirates,UAE1,AFC,https://tmssl.akamaized.net//images/flagge/head/183.png?lm=1520611569,24,26.6,0,,31129999.0,,68,2025,https://www.transfermarkt.co.uk/united-arab-emirates/startseite/verein/5147
5148,North Macedonia,north-macedonia,100,North Macedonia,MAZ1,UEFA,https://tmssl.akamaized.net//images/flagge/head/100.png?lm=1520611569,26,28.6,22,84.6,38700001.0,,67,2025,https://www.transfermarkt.co.uk/north-macedonia/startseite/verein/5148
5233,Bolivia,bolivia,23,Bolivia,BO1A,CONMEBOL,https://tmssl.akamaized.net//images/flagge/head/23.png?lm=1520611569,28,24.9,16,57.1,18629999.0,,76,2025,https://www.transfermarkt.co.uk/bolivia/startseite/verein/5233
53982,Kosovo,kosovo,244,Kosovo,KO1,UEFA,https://tmssl.akamaized.net//images/flagge/head/244.png?lm=1520611569,25,27.6,24,96.0,114279999.0,,78,2025,https://www.transfermarkt.co.uk/kosovo/startseite/verein/53982
5547,Israel,israel,74,Israel,ISR1,UEFA,https://tmssl.akamaized.net//images/flagge/head/74.png?lm=1520611569,25,26.3,13,52.0,85900002.0,,77,2025,https://www.transfermarkt.co.uk/israel/startseite/verein/5547
5598,China,china,34,China,CSL,AFC,https://tmssl.akamaized.net//images/flagge/head/34.png?lm=1520611569,26,26.6,1,3.8,12480000.0,,94,2025,https://www.transfermarkt.co.uk/china/startseite/verein/5598
